Id,Name,Isin,AmfiCode,Rta,RtaCode,AmcCode,LastUpdatedBy,LastUpdatedOnUtc
1,Hdfc Arbitrage Fund - Retail Plan - Growth Option,INF179K01319,106796,CAMS,HAFRG,AFRG,Ranjith.Vijayabaskar,1/1/2007 10:00
2,Hdfc Arbitrage Fund - Retail Plan - Quarterly Idcw Payout Option,INF179K01327,106797,CAMS,HAFRDQ,AFRDQ,Ranjith.Vijayabaskar,1/1/2007 10:00
3,Hdfc Balanced Fund - Idcw Payout Option,INF179K01376,100121,CAMS,HBFD,BFD,Ranjith.Vijayabaskar,1/1/2007 10:00
4,Hdfc Balanced Fund - Growth Option,INF179K01392,100122,CAMS,HBFG,BFG,Ranjith.Vijayabaskar,1/1/2007 10:00
5,Hdfc Capital Builder Value Fund - Regular Plan - Idcw Payout,INF179K01400,101765,CAMS,H61,61,Ranjith.Vijayabaskar,1/1/2007 10:00
6,Hdfc Capital Builder Value Fund - Regular Plan - Growth,INF179K01426,101764,CAMS,H62,62,Ranjith.Vijayabaskar,1/1/2007 10:00
7,Hdfc Low Duration Fund - Retail - Regular Plan - Daily Idcw Reinvestment,INF179K01434,105548,CAMS,H59,59,Ranjith.Vijayabaskar,1/1/2007 10:00
8,Hdfc Low Duration Fund - Retail - Regular Plan - Growth,INF179K01442,102452,CAMS,H54,54,Ranjith.Vijayabaskar,1/1/2007 10:00
9,Hdfc Low Duration Fund - Retail - Regular Plan - Monthly Idcw Payout,INF179K01459,105543,CAMS,H60,60,Ranjith.Vijayabaskar,1/1/2007 10:00
10,Hdfc Low Duration Fund - Retail - Regular Plan - Weekly Idcw Payout,INF179K01475,102453,CAMS,H58,58,Ranjith.Vijayabaskar,1/1/2007 10:00
11,Hdfc Focused 30 Fund - Regular Plan - Idcw Payout,INF179K01558,102761,CAMS,HCORD,CORD,Ranjith.Vijayabaskar,1/1/2007 10:00
12,Hdfc Focused 30 Fund - Regular Plan - Growth,INF179K01574,102760,CAMS,HCORG,CORG,Ranjith.Vijayabaskar,1/1/2007 10:00
13,Hdfc Flexicap Fund - Idcw Payout Option,INF179K01582,101763,CAMS,H01,1,Ranjith.Vijayabaskar,1/1/2007 10:00
14,Hdfc Flexicap Fund - Growth Option,INF179K01608,101762,CAMS,H02,2,Ranjith.Vijayabaskar,1/1/2007 10:00
15,Tata Dividend Yield Fund - Growth,INF277K01345,102859,CAMS,TDYG,TDYFB,Ranjith.Vijayabaskar,1/1/2007 10:00
16,Tata Dynamic Bond Fund Regular Plan Growth,INF277K01360,101909,CAMS,TDAG,TDBFB,Ranjith.Vijayabaskar,1/1/2007 10:00
17,Tata Dynamic Bond Fund Option B - Growth,INF277K01386,101910,CAMS,TDBG,TDBFD,Ranjith.Vijayabaskar,1/1/2007 10:00
18,Hdfc Floating Rate Income Fund - Long Term Plan - Idcw Reinvestment Option,INF179K01616,101670,CAMS,HILD,ILD,Ranjith.Vijayabaskar,1/1/2007 10:00
19,Hdfc Floating Rate Income Fund - Long Term Plan - Growth Option,INF179K01624,101671,CAMS,HILG,ILG,Ranjith.Vijayabaskar,1/1/2007 10:00
20,Hdfc Floating Rate Debt Fund -Retail Option- Regular Plan - Growth,INF179K01632,101481,CAMS,HISG,ISG,Ranjith.Vijayabaskar,1/1/2007 10:00
